open,close,high,low,volume,money,datetime
10.59,10.61,10.63,10.56,10818771.0,114594417.0,2025-05-06 09:35:00
10.6,10.59,10.61,10.59,1224603.0,12980761.0,2025-05-06 09:40:00
10.6,10.59,10.61,10.58,1834636.0,19436789.0,2025-05-06 09:45:00
10.59,10.58,10.6,10.57,1838452.0,19452108.0,2025-05-06 09:50:00
10.58,10.58,10.59,10.57,2573046.0,27219689.0,2025-05-06 09:55:00
10.59,10.61,10.61,10.59,1731565.0,18347325.0,2025-05-06 10:00:00
10.6,10.61,10.61,10.59,1880172.0,19924240.0,2025-05-06 10:05:00
10.61,10.59,10.61,10.59,727605.0,7713205.0,2025-05-06 10:10:00
10.6,10.6,10.61,10.59,740232.0,7845799.0,2025-05-06 10:15:00
10.61,10.6,10.61,10.6,1022359.0,10842603.0,2025-05-06 10:20:00
10.6,10.6,10.61,10.6,879107.0,9322509.0,2025-05-06 10:25:00
10.61,10.65,10.66,10.6,9600418.0,102084202.0,2025-05-06 10:30:00
10.66,10.64,10.67,10.63,5170929.0,55091585.0,2025-05-06 10:35:00
10.63,10.63,10.64,10.62,1475732.0,15684325.0,2025-05-06 10:40:00
10.63,10.61,10.63,10.61,1675810.0,17786181.0,2025-05-06 10:45:00
10.62,10.62,10.62,10.61,528764.0,5613260.0,2025-05-06 10:50:00
10.62,10.62,10.62,10.61,722448.0,7666938.0,2025-05-06 10:55:00
10.61,10.6,10.62,10.6,2125472.0,22538919.0,2025-05-06 11:00:00
10.61,10.61,10.61,10.6,1382707.0,14654647.0,2025-05-06 11:05:00
10.6,10.6,10.61,10.6,957178.0,10146103.0,2025-05-06 11:10:00
10.6,10.6,10.61,10.6,1112601.0,11795507.0,2025-05-06 11:15:00
10.6,10.6,10.61,10.6,801963.0,8500465.0,2025-05-06 11:20:00
10.6,10.62,10.62,10.6,1020785.0,10829133.0,2025-05-06 11:25:00
10.61,10.61,10.62,10.61,798352.0,8471072.0,2025-05-06 11:30:00
10.61,10.61,10.62,10.6,2175593.0,23076528.0,2025-05-06 13:05:00
10.61,10.62,10.62,10.6,1637435.0,17375083.0,2025-05-06 13:10:00
10.61,10.62,10.62,10.6,1385734.0,14698360.0,2025-05-06 13:15:00
10.62,10.61,10.62,10.61,952538.0,10105257.0,2025-05-06 13:20:00
10.61,10.62,10.63,10.61,2053587.0,21797164.0,2025-05-06 13:25:00
10.62,10.61,10.63,10.61,1120336.0,11888875.0,2025-05-06 13:30:00
10.61,10.62,10.62,10.61,1093108.0,11597024.0,2025-05-06 13:35:00
10.62,10.61,10.62,10.61,1229986.0,13051076.0,2025-05-06 13:40:00
10.62,10.61,10.62,10.61,892825.0,9471845.0,2025-05-06 13:45:00
10.62,10.61,10.62,10.6,1480353.0,15699719.0,2025-05-06 13:50:00
10.6,10.61,10.62,10.6,1080010.0,11450983.0,2025-05-06 13:55:00
10.62,10.61,10.62,10.6,1180153.0,12517023.0,2025-05-06 14:00:00
10.61,10.61,10.62,10.61,1220112.0,12944538.0,2025-05-06 14:05:00
