,open,close,high,low,volume,money
2024-09-12 09:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 09:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 09:45:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 09:50:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 09:55:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:00:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:45:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:50:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 10:55:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:00:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 11:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:45:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:50:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 13:55:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:00:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:45:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:50:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 14:55:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-12 15:00:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 09:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 09:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 09:45:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 09:50:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 09:55:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:00:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:45:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:50:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 10:55:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:00:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 11:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:05:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:10:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:15:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:20:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:25:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:30:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:35:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:40:00,34.62,34.62,34.62,34.62,0.0,0.0
2024-09-13 13:45:00,34.62,34.62,34.62,34.62,0.0,0.0
